name,rating
 7 Wonders Duel ,8
Azul,9
Century: Spice Road ,7
Everdell,10
Evolution,6
Evolution Climate,6
The Isle of Cats,7
Pandemic,8
PARKS,8
Patchwork,9
Res Arcana,8
Splendor,7
Takenoko,7
Ticket to Ride Europe,8
Tiny Towns,7
Welcome To… Mini,10
Wingspan,10
